1000052737	No	BNY Mellon Headquarters	225 Liberty Street	New York	NY	10281	US	LEED-CI v2009				No	Corporate: Publicly Traded	228454		Office: Administrative/Professional	BNY Mellon	12/3/2014 0:00
1000052738	No	Wahler - Phase II: Renovation	908 Wahler Place SE	Washington	DC	20032	US	LEED FOR SCHOOLS v2009				No		55355		Core Learning Space: K-12 Elementary/Middle School	"\\\"\\\""	12/3/2014 0:00
1000052739	No	Utility Administration Building	222 Laporte Avenue	Fort Collins	CO	80524	US	LEED v4 BD+C: NC				No		37500		Office: Administrative/Professional	City of Fort Collins	12/3/2014 0:00
1000052740	No	Wahler	908 Wahler Place SE	Washington	DC	20032	US	LEED-NC v2009				No	Investor: Bank	49809		Core Learning Space: K-12 Elementary/Middle School	Achievement Prep	12/3/2014 0:00
1000052741	No	4227, 4235 red shed lane	"\\\"\\\""	"\\\"\\\""	"\\\"\\\""	"\\\"\\\""	US	LEED-HOMES v2008				No		0			"\\\"\\\""	12/3/2014 0:00
1000052742	No	Union Tower West	1801 Wewatta	Denver	CO	80202	US	LEED-NC v2009				No		210467		Multi-Family Residential: Apartment	Portman Holdings	12/3/2014 0:00
1000052744	No	Berea College Bingham Hall	Bingham Hall	Berea	KY	40404	US	LEED-NC v2009				No		26610		Lodging: Dormitory	Berea College	12/3/2014 0:00
1000052745	No	GVSU Campus Housing 2016	One Campus Drive	Allendale	MI	49401	US	LEED-NC v2009				No		142100		Core Learning Space: College/University	Grand Valley State University	12/3/2014 0:00
1000052746	No	Paradise Road - House 1	69 Paradise Rd	Northampton	MA	1060	US	LEED For Homes Multi Family Low-Rise				No		6737		Multi-Family Low-Rise (1-3 stories)	The Smith College	12/3/2014 0:00
1000052747	No	Paradise Road - House 3	69 Paradise Rd	Northampton	MA	1060	US	LEED For Homes Multi Family Low-Rise				No		6737		Multi-Family Low-Rise (1-3 stories)	The Smith College	12/3/2014 0:00
1000052748	No	Paradise Road - House 4	69 Paradise Rd	Northampton	MA	1060	US	LEED For Homes Multi Family Low-Rise				No		6737		Multi-Family Low-Rise (1-3 stories)	The Smith College	12/3/2014 0:00
1000052750	No	Wahler - Phase I: New Construction	908 Wahler Place SE	Washington	DC	20032	US	LEED FOR SCHOOLS v2009				No		54020		Core Learning Space: K-12 Elementary/Middle School	"\\\"\\\""	12/3/2014 0:00
1000052752	No	4235 Red Shed Lane	4235 Red Shed Lane	Charlotte	NC	28269	US	LEED For Homes Single Family				No		1200		Single-Family (Detached)	Habitat Charlotte	12/3/2014 0:00
1000052754	No	Core & Shell - Office Tower	111 Westlake Ave N	Seattle	WA	98109	US	LEED v4 BD+C: CS				No		407510		Office: Administrative/Professional	"\\\"\\\""	12/3/2014 0:00
1000052755	No	Core & Shell - Retail Building	111 Westlake Ave N	Seattle	WA	98109	US	LEED v4 BD+C: CS				No		28459		Retail: Other Retail	"\\\"\\\""	12/3/2014 0:00
1000052756	No	Paradise Road - House 2	69 Paradise Rd	Northampton	MA	1060	US	LEED For Homes Multi Family Low-Rise				No		6737		Multi-Family Low-Rise (1-3 stories)	The Smith College	12/3/2014 0:00
1000052757	No	North Desert Palms Apartments	11001 Dyer Building 38 Unit 382	El Paso	TX	79924	US	LEED For Homes Single Family	66	Silver	1/6/2015 0:00	Yes		1289		Single-Family Home (Attached)	North Desert Palms, Ltd.	12/4/2014 0:00
